ENTITY::DOES_ENTITY_EXIST, 38746
MISC::VAR_STRING, 30294
MISC::IS_BIT_SET, 29984
PLAYER::PLAYER_ID, 25604
DATABINDING::_DATABINDING_ADD_DATA_BOOL, 25302
DATABINDING::_DATABINDING_ADD_DATA_INT, 20358
ENTITY::IS_ENTITY_DEAD, 15776
MAP::_MAP_DISCOVER_REGION, 14260
BUILTIN::TO_FLOAT, 13098
INVENTORY::_INVENTORY_IS_GUID_VALID, 11856
MISC::IS_STRING_NULL_OR_EMPTY, 11436
MISC::GET_GAME_TIMER, 11070
MISC::SET_BIT, 11064
ENTITY::GET_ENTITY_COORDS, 10898
DATABINDING::_DATABINDING_ADD_DATA_STRING, 10264
MISC::GET_HASH_KEY, 10086
PLAYER::PLAYER_PED_ID, 9708
NETWORK::NETWORK_IS_PLAYER_ACTIVE, 8536
DATABINDING::_DATABINDING_ADD_DATA_HASH, 8176
PED::SET_PED_CONFIG_FLAG, 8088
PLAYER::GET_PLAYER_INDEX, 7066
PLAYER::GET_PLAYER_PED, 6814
PAD::DISABLE_CONTROL_ACTION, 6090
DATAFILE::DATADICT_GET_ARRAY, 5982
VOLUME::DOES_VOLUME_EXIST, 5798
DATABINDING::_DATABINDING_WRITE_DATA_BOOL, 5654
ENTITY::GET_PED_INDEX_FROM_ENTITY_INDEX, 5448
MISC::COPY_SCRIPT_STRUCT, 5424
DATABINDING::DATABINDING_WRITE_STRING_FROM_PARENT, 5286
DATAFILE::_PARSEDDATA_REGISTER_QUERY, 5224
NETWORK::NETWORK_IS_GAME_IN_PROGRESS, 5156
DATABINDING::DATABINDING_IS_ENTRY_VALID, 5116
MISC::CLEAR_BIT, 4936
BUILTIN::ROUND, 4772
DATAFILE::PARSEDDATA_RQ_FILLOUT_NODE, 4726
BUILTIN::FLOOR, 4686
DATAFILE::PARSEDDATA_RQ_FILLOUT_HASH, 4672
PED::IS_PED_INJURED, 4648
PLAYER::NETWORK_PLAYER_ID_TO_INT, 4638
GANG::NETWORK_GET_GANG_ID, 4612
NETWORK::NETWORK_IS_PLAYER_INDEX_VALID, 4372
HUD::GET_STRING_FROM_HASH_KEY, 4244
NETWORK::GET_NETWORK_TIME_ACCURATE, 3916
ANIMSCENE::DOES_ANIM_SCENE_EXIST, 3882
NETWORK::NETWORK_HAS_CONTROL_OF_ENTITY, 3878
MISC::GET_RANDOM_INT_IN_RANGE, 3828
UNLOCK::UNLOCK_IS_UNLOCKED, 3626
DATAFILE::_PARSEDDATA_GET_SECTION, 3612
MAP::DOES_BLIP_EXIST, 3574
NETWORK::NETWORK_DOES_NETWORK_ID_EXIST, 3538
WEAPON::IS_WEAPON_VALID, 3500
DATABINDING::_DATABINDING_ADD_DATA_CONTAINER, 3420
DATABINDING::_DATABINDING_WRITE_DATA_STRING, 3276
BUILTIN::SHIFT_RIGHT, 3254
DATABINDING::_DATABINDING_READ_DATA_INT_FROM_PARENT, 3158
ENTITY::IS_ENTITY_A_PED, 3140
INVENTORY::_INVENTORY_FITS_SLOT_ID, 3104
BUILTIN::SHIFT_LEFT, 3038
ANIMSCENE::_IS_ANIM_SCENE_PLAYBACK_LIST_PHASE_ACTIVE, 2996
SCRIPTS::_IS_PLAYER_BIT_SET_AT_INDEX, 2926
INVENTORY::_GET_DEFAULT_ITEM_SLOT_INFO, 2760
TASK::DOES_SCENARIO_POINT_EXIST, 2760
PLAYER::INT_TO_PLAYERINDEX, 2684
BUILTIN::VDIST, 2672
DATAFILE::_PARSEDDATA_RQ_FILLOUT_INT, 2654
SCRIPTS::_SET_PLAYER_BIT_AT_INDEX, 2636
GRAPHICS::ANIMPOSTFX_PLAY, 2634
ENTITY::GET_ENTITY_MODEL, 2564
NETWORK::PARTICIPANT_ID_TO_INT, 2546
